### CROSS VALIDATION GLOBAL RESULTS ###

DATE                | ITERATIONS | RECORDS | TP    | TN    | FP    | FN    | ACCU. | SPEC. | SENS. | PREC. | GMEAN | AUC   | F1    | MCC    |
2015-01-10 19:00:24 | 10         | 1640    | 41.600 | 38.900 | 41.800 | 41.700 | 0.491 | 0.479 | 0.501 | 0.000 | 0.489 | 0.751 | 0.497 | -0.019 | 
2015-01-10 19:00:58 | 10         | 1640    | 36.700 | 42.600 | 41.500 | 43.200 | 0.484 | 0.507 | 0.461 | 0.000 | 0.483 | 0.730 | 0.463 | -0.032 | 
2015-01-10 19:01:19 | 10         | 1640    | 39.600 | 42.400 | 40.800 | 41.200 | 0.500 | 0.509 | 0.489 | 0.000 | 0.497 | 0.745 | 0.489 | -0.001 | 
2015-01-10 19:01:39 | 10         | 1640    | 40.400 | 44.300 | 38.900 | 40.400 | 0.516 | 0.533 | 0.501 | 0.000 | 0.515 | 0.751 | 0.504 | +0.034 | 
2015-01-10 19:01:59 | 10         | 1640    | 39.500 | 40.700 | 42.800 | 41.000 | 0.489 | 0.489 | 0.491 | 0.000 | 0.488 | 0.745 | 0.484 | -0.020 | 
2015-01-10 19:03:33 | 10         | 1640    | 41.200 | 40.300 | 41.900 | 40.600 | 0.497 | 0.490 | 0.503 | 0.000 | 0.495 | 0.752 | 0.499 | -0.007 | 
2015-01-10 19:03:56 | 10         | 1640    | 39.000 | 45.700 | 41.400 | 37.900 | 0.516 | 0.526 | 0.507 | 0.000 | 0.514 | 0.753 | 0.493 | +0.032 | 
2015-01-10 19:04:27 | 10         | 1640    | 39.100 | 41.500 | 39.400 | 44.000 | 0.491 | 0.514 | 0.469 | 0.000 | 0.490 | 0.735 | 0.482 | -0.017 | 
2015-01-10 19:04:54 | 10         | 1640    | 39.400 | 41.000 | 40.000 | 43.600 | 0.490 | 0.507 | 0.474 | 0.000 | 0.489 | 0.737 | 0.485 | -0.019 | 
2015-01-10 19:05:58 | 10         | 1640    | 36.100 | 43.900 | 43.100 | 40.900 | 0.488 | 0.505 | 0.471 | 0.000 | 0.486 | 0.735 | 0.461 | -0.024 | 
2015-01-10 19:11:06 | 10         | 1640    | 40.200 | 41.300 | 42.000 | 40.500 | 0.497 | 0.497 | 0.497 | 0.000 | 0.496 | 0.748 | 0.491 | -0.006 | 
2015-01-10 19:12:44 | 10         | 1640    | 40.300 | 39.000 | 43.900 | 40.800 | 0.484 | 0.469 | 0.498 | 0.000 | 0.482 | 0.749 | 0.487 | -0.033 | 
2015-01-10 19:13:53 | 10         | 1640    | 41.400 | 42.400 | 41.500 | 38.700 | 0.511 | 0.504 | 0.516 | 0.000 | 0.509 | 0.758 | 0.506 | +0.020 | 
2015-01-10 19:14:39 | 10         | 1640    | 41.900 | 42.300 | 40.900 | 38.900 | 0.513 | 0.508 | 0.518 | 0.000 | 0.512 | 0.759 | 0.511 | +0.027 | 
2015-01-10 19:15:18 | 10         | 1640    | 42.300 | 40.500 | 42.400 | 38.800 | 0.505 | 0.488 | 0.523 | 0.000 | 0.504 | 0.761 | 0.510 | +0.011 | 
2015-01-10 19:15:42 | 10         | 1640    | 38.300 | 42.900 | 42.500 | 40.300 | 0.495 | 0.503 | 0.488 | 0.000 | 0.491 | 0.744 | 0.477 | -0.010 | 
2015-01-10 19:16:08 | 10         | 1640    | 42.500 | 38.400 | 42.300 | 40.800 | 0.493 | 0.476 | 0.509 | 0.000 | 0.491 | 0.755 | 0.503 | -0.014 | 
2015-01-10 19:17:05 | 10         | 1640    | 42.300 | 40.800 | 41.700 | 39.200 | 0.507 | 0.494 | 0.520 | 0.000 | 0.505 | 0.760 | 0.511 | +0.014 | 
2015-01-10 19:17:50 | 10         | 1640    | 41.000 | 40.500 | 41.700 | 40.800 | 0.497 | 0.492 | 0.500 | 0.000 | 0.495 | 0.750 | 0.496 | -0.008 | 
2015-01-10 19:18:34 | 10         | 1640    | 36.600 | 42.200 | 39.700 | 45.500 | 0.480 | 0.513 | 0.446 | 0.000 | 0.477 | 0.723 | 0.460 | -0.041 | 
2015-01-10 19:19:15 | 10         | 1640    | 40.200 | 39.700 | 41.700 | 42.400 | 0.487 | 0.487 | 0.487 | 0.000 | 0.486 | 0.743 | 0.489 | -0.026 | 
2015-01-10 19:27:50 | 10         | 1640    | 41.300 | 41.800 | 39.500 | 41.400 | 0.507 | 0.514 | 0.501 | 0.000 | 0.506 | 0.750 | 0.505 | +0.014 | 
2015-01-10 19:32:38 | 10         | 1640    | 42.800 | 39.000 | 40.900 | 41.300 | 0.499 | 0.486 | 0.509 | 0.000 | 0.497 | 0.754 | 0.509 | -0.006 | 
2015-01-10 19:33:36 | 10         | 1640    | 42.500 | 41.100 | 38.300 | 42.100 | 0.510 | 0.517 | 0.501 | 0.000 | 0.509 | 0.751 | 0.513 | +0.019 | 
2015-01-10 19:34:24 | 10         | 1640    | 42.900 | 37.000 | 43.800 | 40.300 | 0.487 | 0.458 | 0.516 | 0.000 | 0.484 | 0.758 | 0.504 | -0.026 | 
2015-01-10 19:34:42 | 10         | 1640    | 41.600 | 40.000 | 41.000 | 41.400 | 0.498 | 0.492 | 0.501 | 0.000 | 0.494 | 0.750 | 0.501 | -0.007 | 
2015-01-10 19:35:24 | 10         | 1640    | 41.600 | 43.100 | 38.600 | 40.700 | 0.516 | 0.527 | 0.504 | 0.000 | 0.513 | 0.752 | 0.509 | +0.032 | 
2015-01-10 19:39:02 | 10         | 1640    | 39.200 | 43.600 | 38.200 | 43.000 | 0.505 | 0.533 | 0.477 | 0.000 | 0.502 | 0.739 | 0.490 | +0.011 | 
2015-01-10 19:39:22 | 10         | 1640    | 38.300 | 41.600 | 41.900 | 42.200 | 0.487 | 0.498 | 0.477 | 0.000 | 0.485 | 0.738 | 0.476 | -0.026 | 
2015-01-10 19:40:22 | 10         | 1640    | 44.300 | 38.400 | 41.700 | 39.600 | 0.504 | 0.482 | 0.529 | 0.000 | 0.502 | 0.764 | 0.520 | +0.011 | 
2015-01-10 19:40:45 | 10         | 1640    | 40.200 | 41.800 | 40.600 | 41.400 | 0.500 | 0.506 | 0.492 | 0.000 | 0.499 | 0.746 | 0.494 | -0.002 | 
2015-01-10 19:42:13 | 10         | 1640    | 42.400 | 40.000 | 40.500 | 41.100 | 0.502 | 0.496 | 0.506 | 0.000 | 0.499 | 0.753 | 0.507 | +0.002 | 
2015-01-10 19:42:21 | 10         | 1640    | 44.400 | 39.600 | 39.900 | 40.100 | 0.512 | 0.499 | 0.526 | 0.000 | 0.511 | 0.763 | 0.526 | +0.024 | 
2015-01-10 19:42:41 | 10         | 1640    | 40.600 | 41.600 | 42.500 | 39.300 | 0.501 | 0.496 | 0.508 | 0.000 | 0.500 | 0.754 | 0.497 | +0.003 | 
2015-01-10 19:51:01 | 10         | 1640    | 39.200 | 41.400 | 39.400 | 44.000 | 0.491 | 0.513 | 0.471 | 0.000 | 0.490 | 0.735 | 0.483 | -0.017 | 
2015-01-10 19:53:16 | 10         | 1640    | 38.700 | 41.600 | 40.400 | 43.300 | 0.490 | 0.507 | 0.472 | 0.000 | 0.489 | 0.736 | 0.479 | -0.021 | 
2015-01-10 19:53:40 | 10         | 1640    | 42.200 | 39.500 | 43.200 | 39.100 | 0.498 | 0.477 | 0.520 | 0.000 | 0.497 | 0.760 | 0.506 | -0.002 | 
2015-01-10 19:54:35 | 10         | 1640    | 40.300 | 41.300 | 42.800 | 39.600 | 0.498 | 0.491 | 0.502 | 0.000 | 0.496 | 0.751 | 0.492 | -0.006 | 
2015-01-10 19:54:57 | 10         | 1640    | 40.900 | 40.300 | 41.600 | 41.200 | 0.495 | 0.491 | 0.496 | 0.000 | 0.492 | 0.748 | 0.493 | -0.012 | 
2015-01-10 19:55:22 | 10         | 1640    | 43.000 | 43.500 | 40.500 | 37.000 | 0.527 | 0.518 | 0.539 | 0.000 | 0.527 | 0.769 | 0.525 | +0.057 | 
2015-01-10 19:55:38 | 10         | 1640    | 40.400 | 40.900 | 41.100 | 41.600 | 0.496 | 0.498 | 0.492 | 0.000 | 0.494 | 0.746 | 0.492 | -0.010 | 
2015-01-10 19:55:54 | 10         | 1640    | 40.700 | 41.800 | 38.000 | 43.500 | 0.503 | 0.522 | 0.484 | 0.000 | 0.502 | 0.742 | 0.499 | +0.006 | 
2015-01-10 19:56:19 | 10         | 1640    | 44.000 | 37.500 | 39.500 | 43.000 | 0.497 | 0.487 | 0.506 | 0.000 | 0.496 | 0.753 | 0.516 | -0.007 | 
2015-01-10 19:57:09 | 10         | 1640    | 40.100 | 38.300 | 43.600 | 42.000 | 0.478 | 0.468 | 0.487 | 0.000 | 0.477 | 0.744 | 0.483 | -0.044 | 
2015-01-10 19:57:42 | 10         | 1640    | 38.900 | 41.100 | 40.600 | 43.400 | 0.488 | 0.503 | 0.473 | 0.000 | 0.487 | 0.736 | 0.480 | -0.024 | 
2015-01-10 19:58:14 | 10         | 1640    | 39.000 | 45.000 | 42.000 | 38.000 | 0.512 | 0.516 | 0.507 | 0.000 | 0.510 | 0.754 | 0.493 | +0.023 | 
2015-01-10 20:07:40 | 10         | 1640    | 41.700 | 40.700 | 40.800 | 40.800 | 0.502 | 0.499 | 0.504 | 0.000 | 0.500 | 0.752 | 0.504 | +0.003 | 
2015-01-10 20:14:31 | 10         | 1640    | 46.000 | 38.700 | 38.900 | 40.400 | 0.516 | 0.502 | 0.533 | 0.000 | 0.515 | 0.766 | 0.535 | +0.034 | 
2015-01-10 20:16:28 | 10         | 1640    | 39.000 | 42.800 | 40.100 | 42.100 | 0.499 | 0.516 | 0.482 | 0.000 | 0.498 | 0.741 | 0.486 | -0.001 | 
2015-01-10 20:17:26 | 10         | 1640    | 39.200 | 42.200 | 39.500 | 43.100 | 0.496 | 0.515 | 0.476 | 0.000 | 0.493 | 0.738 | 0.485 | -0.009 | 
2015-01-10 20:18:07 | 10         | 1640    | 41.500 | 40.400 | 40.600 | 41.500 | 0.499 | 0.498 | 0.499 | 0.000 | 0.497 | 0.750 | 0.501 | -0.003 | 
